Id,text,label
32,"This guy lectures well but he is so soft spoken that it is imperative to sit right in front to hear him properly. The online homework took me a long time since I was new to Calculus, but it is the best way to learn the material. At one point he provided evidence to support Noah's flood and Earth's age which was a misuse of his position.",neutral
33,Dorky at times but a good teacher,neutral
34,"I thought Mr. Farm was an excellent PreCalculus instructor.  One of the best math teachers I've had.  He does a great job at explaining the concepts and providing examples on the blackboard.  Also, I thought he was mildly entertaining and has a friendly demeanor, which never hurts.",neutral
35,He is very helpful if you don't understand the topic. Sometimes the tests can be tricky but if you go in for his office hours he is more than happy to explain the concepts for you.,neutral
36,Best math teacher I've ever had! Definitely taking one of his classes again.,neutral
37,"Best math teacher I've ever had.  He's really helpful and accomodating.  Hes also really easy to talk to, dont hesitate to go talk to him about problems on a test.  If you go to class regularly, take notes and DO the homework, there is absolutly no reason you shouldnt get an A.",neutral
38,"Farm wasn't that bad...VERY easy to talk to...yes test were hard, but speak up! if you say something he will try and fix it...he fixed 2 tests we had because we expressed concern...he really does want to work with you...",neutral
39,I don't see why everyone has such a problem with him.  I like his teaching style and you learn quite a bit from it.  Take the class from him if you actually want to learn and not fall behind for the next Calc class.  He's helpful and accomodating after class also..,neutral
40,"I would not consider this class a sociology class. This felt more like just information on drugs and did not talk about it sociologically. It was still a good class, a lot harder than any other class by Frank White. Online quizzes for every test which are easy. You cannot skip this class ever.",neutral
41,Great professor! Manages to entertain a whole lecture hall when he teaches. Hilarious and will always keep your attention.,neutral
42,"Frank's easily one of the best professors at UND and goes out of his way to get to know his students. Knows all the course content extremely well, and keeps you engaged the whole time. Some of his stories are awesome. Do the memory matrices, crosswords, and study guides and you'll easily pass. Go to class because his powerpoints are fill in.",neutral
43,"Frank is easily one of the most knowledgeable professors at UND. He's also incredibly likable and approachable, and his lectures are genuinely interesting.",neutral
44,"I've had two classes with Frank White and I honestly wish he taught more than just Sociology. He is always helpful, friendly, and personable. The world needs more Frank White and I'm willing to take any class he is teaching.",neutral
45,"Frank White is the BEST professor at UND. He can turn the most boring topic into something that you're literally on the edge of your seat to hear. He's extremely knowledgeable and up-to-date on his material, genuinely cares about his students, and takes the time to get to know them. He's got a great sense of humor  and is well respected by everyone",neutral
46,"Great class, great teacher. He does use power points now. Either use your computer to fill in the notes or print out the power points and bring them to class to fill in the rest of the lecture notes.",neutral
47,"Interesting and entertaining.  Instructor makes this class a pleasure and is very high energy.  He was always willing to answer questions and provide assistance and was happy to have engaged students.  Even if you aren't a SOC major, take this class!",neutral
48,"Funny, interesting, and helpful! Definitely recommend Dr. White! He gets to know his students (which is amazing that he knows so many in such a large lecture) and enjoys what he does!",neutral
49,"Frank is one of the best teachers at UND. It's sad that he's now done with the big lecture classes, because otherwise I'd highly recommend you take them. Intro to Soc. was extremely easy anyway, but he made going to class fun and that made the class awesome.",neutral
50,Most interesting prof. I've ever had. Even if you're not interested in the material his lectures will get you listening. Attendance is pretty much required with easy daily quizzes but it was honestly never a struggle to convince myself to go to this class. Definitely take at least one class from him.,neutral
51,He's such an awesome professor. He has passion for what he teaches and makes things interesting to us. He uses funny examples all the time that are sure to get a laugh out of you. I HIGHLY recommend taking this class from him.,neutral
52,"Frank is by far one of the best teachers at UND. Lectures are very entertaining, and he has a fun sense of humor and great story-telling ability. Posts online memory matrices, review information, and a lecture outline to guide students. Highly recommend taking the class.",neutral
53,Frank White was a great professor! I looked forward to going to class because Frank was funny and outgoing during lectures and passionate toward what he was teaching. The tests were not to bad as long as you went to class and studied for them.,neutral
54,"One of the best teachers i've ever had, all his classes are lecture based, he has a funny story for every topic he is talking about. Made coming to class fun. Highly recommended",neutral
55,"Such a great professor.  He made and effort to get to know me personally.  Also, he makes class very interesting.  He talks about personal stories to help you understand the material.",neutral
56,"AMAZING professor. He is the reason I switched my major to Sociology. Always attend class because he does not put notes online. If you can, bring your laptop for notes. He jumps around a lot and fills in things he missed during his lecture so it's easiest to use your computer and he doesn't use powerpoint.",neutral
57,"Very interesting, has stories for everything. Doesn't use powerpoint which makes class much more interactive but make sure to take notes because most of the exam is based off of class. Best professor I've had at UND and very approachable",neutral
58,"He was a great professor! If you take the time to talk to him and get to know him it will benefit you in the end.  Go to class though and pay attention, he doesn't put the notes online and he talks really fast! But overall he makes class interesting!",neutral
59,Frank is the best professor I've had. If you go to class and take the notes (he doesn't put them on powerpoint) it's an easy A. He tells funny stories and makes class really interesting.,neutral
60,Very entertaining.  Keeps you engaged! He connects things to real world stuff so it's easy to understand which makes the tests easy!,neutral
61,EXCELLENT teacher. if you are taking sociology take it from him. He is very funny and entertaining. you have to attend class or you wont have the notes for the tests which are 70% off of lecture notes. the other 30% is from the book which you have to read. he gives a study guide which is very helpful.,neutral
62,"He is definitely the best professor I have had so far. He is really funny and personable and makes the class interesting. But, you need to go to class to get the notes because he doesnt put them up on blackboard and most of the test is based off lecture. Easy A if you go.",neutral
63,"helpful , made the class interesting",neutral
64,he is the best teacher I have had at UND so far. he loves his job and wants you to learn. there is never a bad lecture.,neutral
65,"Very passionate in his lecture, and likes to make the class laugh.  he always talks to people before class starts just to see how their day is going.  The only negative is that he does not use powerpoints so you have to write everything down.  He talks very fast too, so either learn how to type/write quickly.",neutral
66,Good teacher but my only complaints are he doesnt use powerpoint slides or post notes on blackboard so you have to write down everything he says and he talks fast & rambles a lot.Make friends in the class because if you miss a day you will need to get the notes from them or else you won't do that well on the tests. Do the study guides as well.,neutral
67,"By far the best professor at UND. He is so passionate about his students and his career.  Going to class was always a blast, and almost every seat was always filled.",neutral
68,lectures are very interesting and helpful in understanding textbook,neutral
69,Hilarious and very interesting! I love this class and White really knows his stuff. Every lecture is entertaining. Labs are pointless though,neutral
70,THIS GUY IS HILARIOUS AND DEFINATELY KNOWS WHAT HE IS TALKING ABOUT. BY FAR THE BEST SOCIOLOGY TEACHER AND IS VERY EASY AND FUN TO LISTEN TO,neutral
71,I had this guy for a professor some years ago and I remember him doing a fantastic job.  His lectures were smooth and fast moving as he demonstrated an outstanding grasp of the material.  Easily one of the top three professors I've encountered in my college time.,neutral
72,AWESOME LECTURER! totally hilarious and keeps your attention guaranteed.  His classes are kind of random facts thrown together but review sheets help extremely on tests.  TA's are either awesome or insanely stuck up.... so beware. Lab homework is tedious but very easy.,neutral
73,One of the best professors at UND.  His lectures are humorous; not boring or &quot;death by power point.&quot;,neutral
74,"Far and away the best Prof at UND. Funny as hell, great teacher, and cares for his students. Sometimes his class is like watching a stand-up comic.  Take any class you can, you will not regret it.",neutral
75,Frank's lectures are very interesting and they are also very easy to understand.  He also makes learning easy  by connecting stories to his lectures.,neutral
76,"AWESOME teacher.  Very dynamic and makes the class very interesting.  I would take another class I don't find interesting at all, as long as he teaches it because he's such a great teacher.",neutral
77,Such a funny class!  Cant get over the accent.  His stories are so damn funny and they help you relate real life with the course teachings.  Take anything with this teacher,neutral
78,"Frank is easily the best teacher I've had in my 3 years of college.  He really does seem to enjoy teaching and seems like a very genuinely caring guy.  Anyone looking to take this course, rest assured that you have an excellent professor in charge.  Again, one of the best teachers UND has.",neutral
79,A UND &quot;legend&quot;.  It's tough to get into his Intro class but worth the wait.  He's a great prof.,neutral
80,No Comments,neutral
81,"This is the funnest ****ing professor ever. I went to the class just for fun, I wasn't even enrolled in it. (And it was the only class I went to during my 3 semesters at UND)",neutral
82,"Frank has a way with the students, he is not just there because thats what he is suppose to do but I believe that he has passion in what he does which brings excitement to his class. Love the stories, they help me relate, when I study for his class it is so much easier when I have the stories to remember and fall back on.",neutral
83,"frank white is my favorite professor, his attitude and energy is amazing. his class is one of the only classes i look forward too.",neutral
84,He is a great teacher. He relates what hes talking to real life so you can understand it better.,neutral
85,No Comments,neutral
86,No Comments,neutral
87,Loved his stories and films.  Fun class.  Learned lots.,neutral
88,Great teacher all around!,neutral
89,"Awesome teacher. He's one of the few teachers whose lectures I can actually pay attention to. I'll go into the class dog tired but come out completely energized. Very funny, knowledgeable guy.",neutral
90,"very good teacher loved the stories, i think he is one of the best on campus",neutral
91,Made the class very interesting. Loved his stories!,neutral
92,one of the best lecturers I have ever seen.,neutral
93,Shares applicable stories in class to relate to material. . .entertaining!!,neutral
94,"This has by far been the hardest thing I have ever done in my life but it is SO worth it. The class is time consuming and a good grade doesn't come easy. You have to be determined and have to put a lot of time and effort into the course, but Dr. Shively isn't out to make people fail, he wants you to pass, you just have to READ the Q's.",neutral
95,"Shively is the man. He really knows his stuff. This class with the lab was easily the hardest course I've ever taken. If you aren't constantly reading the chapters, spending a couple of nights a week in lab you're not going to get an A. That being said it is possible. Super funny guy, really cares about his students, but he'll make you work for it.",neutral
96,"Dr. Shively is the best professor I've ever had. He helped me to UNDERSTAND and LOVE the material rather than just memorize it. He is willing to work with you outside of class and he cares about your success. This course is the tough and requires a lot of effort. But if you are willing to work REALLY hard and put in the hours, an A is possible!",neutral
97,"If you have to take Anatomy, take it from Shively! He's honestly the best lecture teacher available. He has funny stories he'll tell and he loves it when students ask questions. This is a very hard class but I could tell Shively wanted his students to succeed, he just expects you to use your brain and actually do the work and reading!!",neutral
98,"I enjoyed Dr Shively, but this class is a little ridiculous.  The anatomy department acts like their class is a gift from the gods. I am in nursing school now and am annoyed that the correct anatomical terms I spent so much time learning in this class aren't used in the medical field - I have to learn the 'improper' terms used in the real world.",neutral
99,"Shively taught me so much, I am so grateful I took his class. When students didn't understand, he explained the material another way. Memorize the textbook!!! He will try to help you succeed as long as you want it enough to keep trying. There is a lot of material, but I passed even though I had a concussion this semester. You can do it!",neutral
100,"Dr. Shively is the best professor I've ever had. His class is almost impossibly hard, but he designs it that way on purpose. If you go to him for help, he won't just 'help you out' by giving you good grades, but he will do everything he can to help you really learn anatomy. He's also one of the kindest and most hilarious people I've ever met.",neutral
101,"Dr. Shively is hilarious and I honestly loved his class. However it was seriously one of the hardest things I've ever done (because of the course material, not the teacher).  Lots of reading, and the tests were very tricky (but the whole anatomy department uses the same tests). The expected averages were in the 50's and 60's (the curve is magical).",neutral
102,"Dr. Shively is a character. That being said, he really wants his students to succeed. He is a kind-hearted person and really knows his material.  Be prepared to study a lot. His online videos are extremely helpful. Totally possible to earn an A but you will work hard.",neutral
103,"2325 too. This has been by far the hardest class I've taken, but I'm glad I took it from Shively because I have learned SO much and I've enjoyed learning it all. He is a nice guy and always answers my questions. It's a hard class but it needs to be. If you're not good at spelling, get good at it before taking this class from anyone at UVU.",neutral
104,Dr. Shively is a great teacher.  He has lectures that he has filmed that are available online.  They were extremely helpful.   I liked that he broke things down in a simple way so I could understand. His tests were really hard. He will tell u whats on the test. The learning objectives packet will be your saving grace when it comes to studying.,neutral
105,"Yes, the tests are hard, it's a lot of work, but it's the most rewarding class ever. Shively is GREAT in lecture because he gives you simple definitions. The best textbook I've ever had. Grading is rough, but you'll understand why. He lets you know what you do need to know and in how much detail. He comes off scary but he's hilarious & very sweet. ",neutral
106,"Awesome class! Prepares you well for med school. Those who bag on this class obviously don't try hard enough to pass. Shively was a great professor, so funny and willing to help you out and clarify  concepts. Such a great class, lab was so fun!",neutral
107,"Shively's Intro to Anatomy class kinda felt more like an Intro Med School class. People on here are not kidding when they say it's difficult! You NEED the textbook to pass. All I can say is STUDY STUDY STUDY. If you do poorly on one test (of his five or so) he will let you replace one with the final. Go to class, read your notes, read the text. ",neutral
108,"Shively is a unique fellow. I like him. He knows what he's talking about. He wrote the book on anatomy, literally.  The textbook anyway. The subject is tough, there is a lot to learn. He won't dumb it down, so if you're not putting in enough effort you won't pass the class. Shively does do his best to motivate his students and help them understand",neutral
109,"Difficult class. It takes a lot of time and effort. One of the most rewarding classes I have ever taken. If you enjoy learning, you will love this class. If you want an easy 'A' don't take it.",neutral
110,"In this class you have to ATTEND. STUDY. And STUDY some more. Yes it is very difficult, but very rewarding. Wonderful teacher, and is always willing to help.",neutral
111,"Difficult class. Takes a lot of time and effort. (40+ hours a week) It has been one of the most rewarding classes ever taken. If you have any questions, all you need to do is ask. Also he is willing to meet with you if you contact him and set an appointment.",neutral
112,Great teacher! Dr. Shively is legit! He says exactly what he means and follows through. He tells you exactly what you need to do in order to succeed. DO IT! Read the book. DO THE OBJECTIVES! Read the clinicals. Yeah it's hard. So make sure you work hard! Don't under estimate this class but it will be the best class if you put in the work required.,neutral
113,Best teacher for subject of anatomy. Always willing to help and explain subject matter. If you do the required work you will succeed .,neutral
114,"Let me set the record straight: You will be fine in this class if you DO THE OBJECTIVES, STUDY THE REVIEW QUESTIONS, AND DO STUDY THE OUTLINE IN THE BOOK.  It's hard material,but Shively does a great job of helping you understand, but you need to study the book!  He'll help you if you work hard.  You'll love the class if you do!",neutral
115,Doctor Shively is an amazing professor. The best I have had at UVU. Anatomy is a very hard class but Doc makes it clear what you need to know. Very clear and wants students to succeed and learn. His tests are difficult but ultimately really help you learn. Overall I really enjoyed this class although it was extremely hard.,neutral
116,Shively is awesome! Hands-down the best class I have ever taken. Super helpful and kind. Knows everything about the subject. Willing to help outside of class or answer any question without making you feel dumb. Work hard-get a good study partner. Study exactly what he tells you from the book. An A is totally possible!!,neutral
117,"Dr. Shively is AWESOME!! Hands-down the best class I have ever taken. Requires A LOT to get an A, but it's worth it. Study exactly what he says-don't just memorize-understand it well enough to explain it to someone else. Get a good study partner and work like you've never worked and you'll get SO much out of it. One complaint-doesn't use Canvas!",neutral
118,"People whine and moan about this class, but that's because you have to WORK HARD in this class, and people are not committed, or they are too lazy.  This class has been accused of many things, but understand this:  It is the most rewarding class you will ever take, and will prepare you for your medical career, hands down.",neutral
119,HARDEST class I have ever LOVED. Be 110% committed and you will get an A. Dr. Shively is more than willing to help if you just ask!,neutral
120,good teacher but the hardest class you will take,neutral
121,"This class is not an easy class.  Shively expects more than just memorization.  He wants students to think critically about the material.  Once you realize he expects more than memorization, it makes the class more bearable and interesting.  He's a good instructor, though not the most helpful one on one.",neutral
122,"HArdest class you will ever take... That being said, also the most rewarding. Shively is the man! Great teacher, definetely teaches you to think things through. Combo of him and homan was best learning experience I have had at uvu. Dedicate EVERYTHING to this class, and an A is possible",neutral
123,Shively's Anatomy is about the hardest class you can take at UVU. He is very good at explaining things and knows almost everything about the subject. His tests are very difficult due to the wording of his questions and the vast amount of information you need to know. He is willing to help if asked. If you want to know the subject well take it here.,neutral
124,"Shively is actually an awesome teacher, but demanding.  Study what he tells you to, but know it backwards and forwards.  Questions are tricky.  I earned an A w/o curve.  I know from friends grades that the curve is very generous.  This was my only class and I wasn't working, so it was my life.  It was hard, but I feel prepared for PA school.",neutral
125,"If you've heard this is the hardest class you will take, you're right! But it will be the most rewarding class you will ever take. I'm in nursing school right now, and thanks to Shively i know my stuff forward and backward. I got an A with the curve but i dedicated my life to Anatomy! Good Luck, but be prepared to eat, sleep, breath Anatomy!",neutral
126,"The trio of professors; Shively, Holman, and Bracken, shaped my love for human science. I am now a biomed engineering student which requires a rigorous attention to detail. Bracken helped teach how to think. Shively underlined the importance of being meticulous.  Holman instilled passion and taught me that med school is not the answer to everything",neutral
127,"Dr. Shively has taught for so long that his lectures seem to be memorized, so everything on the tests is mentioned in class. However, that does not mean they are easy at all. The average was in the 30s. You will learn a lot, and if you study you should do fine. In a way his class tests more on ability to answer trick questions than on knowledge.",neutral
128,"Read the book extensively.  Obj's, Q's @ back of book, and ask things in class.  Well above avg on quizzes, C on final and got A.  Dr. Shively is demanding, but thorough and kind. DO xtra credit!",neutral
129,"Dr. Shively is amazing! The class is hard, but you get a lot out of it. I am hoping for an amazing curve so I can pass. Best day ever when he plays the guitar. He is laid back, easily approachable, just pay attention in class and don't chat. Get to know him, he is amazing! The class is really hard, but it will prepare you for an awesome career.",neutral
130,"Exacting and challenging course.  Avg quiz score 72%, studied like a religion, Dr. Shively is warm and helpful.  This class taught me I can do anything.  HARD but thorough.",neutral
131,"It's been a few yrs since I took this class, but b/c of this man I aced my med school Anatomy class. All the rumors that this is the hardest class you'll ever take are completely true. But that being said, med school anatomy was a cake walk after going through this class! So if you really planning on going into medicine, this is the class to take.",neutral
132,"Dr. Shively is an excellent teacher- the fact that he and prof. Homan wrote their own books shows their commitment to their profession.  He is extremely knowledgeable and does a great job at pushing his students to truly think of solutions that we may face in our future.  Overall, read the book, do the practice questions- and learn how he asks Q's.",neutral
133,One of my faviorite teachers at UVU. I enjoyed his class even though it was difficult. Very helpful if you ask and make sure you take time to meet with him.,neutral
134,"VERY possible to do well in this class. Those who are complaining either don't know how to study or didn't put in enough time. The info is straightforward there's just a lot to learn. Doc will answer any question you have. Spent over an hour with me outside class answering questions. If your'e going into the medical field, take this class at UVU.",neutral
135,"Many hate Dr. Shively but I really like him and the tests teach you to actually think. All tests from other teachers are a cinch after this. Work hard, don't fall behind or you'll never catch up. Expect to have no social life, live in the lab, read the text, always go to class, get into study groups! Read text before class and ask questions.",neutral
136,"How well you do in this class is a big indicator of what kind of person you are.  If you procrastinate, don't have basic study discipline, and if you just go through the motions--you will hate this professor, because he actually expects you to do something called work.  Welcome to college.",neutral
137,"Dr. Shively is smart, and his class (and tests) are HARD but you probably already heard. He's a good teacher who knows his stuff, buckle down and learn how to study or wuss out and go somewhere else for this class. My favorite day was when he brought in his guitar.",neutral
138,"At the end of this class you will have mastered critical thing as well as anatomy.  His tests and quizzes are the hardest I've taken, but you really know the stuff. IF you want to be good at your profession, take anatomy at UVU, if you just want to get a good grade then take it at slcc, and please don't be my doctor! In all, I do love anatomy now.",neutral
139,"One of my favorite professors, his classes are tough, so no easy grade.  I think if you really try you will find he has a lot to offer as an instructor.",neutral
140,"Shively is the funniest professor I've ever had. He's excellent at explaining all the concepts clearly. His quizzes and tests are insanely hard, but he grades on a curve so it's easy to get a good grade. My only complaint is that I had no idea what my grade was til after the course ended. But anyone who says stay away just didn't work hard enough.",neutral
141,"Dr. Shivley knows his stuff and helps you learn it as well, but when it comes to the tests you have a better chance of doing well if you dont even study. His quizzes are by far the most tricky I have ever seen. And the most difficult. Anatomy is a great class and Shivley is a good teacher but be prepared to work your butt of and to have NO LIFE oth",neutral
142,"This is a VERY hard class. Definitely not an easy a. Shively is a hilarious teacher and explains things well. Of all the anatomy teachers, he's the best!",neutral
143,"this is an intense class, but you will learn your stuff. Treat this class like a full time job. Dr Shivley is brillent! he makes the best analogies, it really helped me in understanding certain processes. I highly highly recommend this professor!",neutral
144,"The expectations for this class are unreal. The test questions are very hard, & test you on how well you read them rather than the material. His lectures don't really prepare you, but the material in the textbook does. That being said, Dr. Shively is an extremely nice & helpful man. I would definitely recommend him over other lecture instructors.",neutral
145,Very intelligent guy and knows his stuff well! Be sure to keep up in the reading and his study guide that he gives out and ask a lot of questions. Also ALWAYS check the answers you got wrong on quizzes. Sometimes there were things on the quiz that I had never heard of so it is good to go back and clarify with him. He also grades on a curve.,neutral
146,Very intelligent guy and knows his stuff well! Be sure to keep up in the reading and his study guide that he gives out and ask a lot of questions. Also ALWAYS check the answers you got wrong on quizzes. Sometimes there were things on the quiz that I had never heard of so it is good to go back and clarify with him. He also grades on a curve.,neutral
147,"Dr Shively is great.  His tests are ridiculously hard, but you learn a lot.  READ THE TEXT!  I went to class everyday, but a lot of what he teaches is in the text and a good chunk of what he doesn't!  Know the questions at the end of the chapter!  Draw the pictures he draws in lecture.  He's funny, and easy to listen to.",neutral
148,"He's funny and a good teacher you just have to pay attention and take notes, I rarely read the book and didn't always do too great on the quizzes but if you do well in lab you'll be fine it does take up quite a bit of time but its interesting",neutral
149,"Plan on this class taking a lot of your time, you'll be studying all the time. I really enjoyed the class and feel that I learned so much. Go to the open labs, do all the homework, and study!!",neutral
150,Shively is a really good teacher in that he knows his material. The class demands A LOT of time but its not hard to get a a good grade. just make sure to STUDY THE QUESTIONS IN THE BOOK! most times the test questions are exactly like them.,neutral
151,"The assigned textbook was completely useless, study off the one he wrote and you'll be setting the curve. I love this teacher, he knows so much! I'm taking another one of this classes next.",neutral
152,"Dr. Shivley is awesome. He is difficult but it will prepare you for any health related course you plan on taking. STUDY, READ, GO TO OPEN LAB and You'll do fine. Take anatomy from him. All the people who give poor ratings just didn't put in the time.",neutral
153,"This class is very frustrating.  His tests are so hard that getting an &quot;F&quot; on a test is good.  That's a problem in my mind.  If you can't or aren't willing to put ALL your time into this class, then don't take it from him!  I have no problem in working hard and studying hard to succeed, but his class is beyond rediculous.  Don't take it from him.",neutral
154,"Difficult, yes, but he tells you where test questions will come from--the questions in his book.  Know the answers to those questions and you will be fine.  Best professor I've had (I went to UVU and graduated at UofU).  I am more proud of doing well in this class than any other--it was the hardest class I had.",neutral
155,I have done a huge disservice to myself by not giving this class the time it requires to do well.  I have children and only arranged daycare for the time I was in lab and lecture.  I should have put them in all day and treated this summer class like a full time job.  Had I done this I would be a lot less stressed out.  Don't make my mistake!,neutral
156,"I wanted an A and got one by having a study group, going to as many open labs as I could, reading the books, by not getting discouraged and staying motivated. Shively is always walking around school just waiting for students to bump into him and ask him a question. Hard class but worth it because you get a thorough tour of the human body!",neutral
157,"Plus- Shively is extremely knowledgable. He understands what he is talking about.He offers to help you outside of class. He can be quite hilarious at times.Minus- the test are indredibly hard and on top of that, Shively is always making mistakes so they have to be rekeyed.Students would learn more if tests were not so hard. Bonus- grades on a curve",neutral
158,"This class is difficult, but I learned soooooo much. Shively's quizzes are really hard, but as long as you do as poorly as everyone else, you'll pass. I loved his lectures, even though I was scared to death the first week or so. Don't put things off in this class or you will be sorry. Shively is extremely smart and willing to help you out.",neutral
159,"This class takes up your life!! Be prepared to wear around your under eye circles.. his quizzes are as obscure as his mind...he's very intelligent, but you have to think like he does during test time. he's hilarious and I made really good friends for the lab on this class.  I suggest to NEVER PROCRASTINATE in this class.",neutral
160,"Hmm, will I have an &quot;A&quot; or a &quot;D&quot;&#63; A very common question among his students.          This class is extremely time consuming, and most times very frustrating. Don't let your score of 25% fool you, it might actually be the class high on a test. Very hard teacher, but rather entertaining. Take his classes with other EASY classes! or else!!",neutral
161,Don't let his relaxed in class attitude fool you! Yes his lectures are fun and he is entertaining- but his tests will rock your world if you haven't read EVERYTHING in the test! Curve is the only way people pass so stay on top of it!,neutral
162,I cannot believe how much people complain and moan about this class!!.  Yes it is very hard and challenging but you are given everything you need to succeed.  Absolutely fantastic teacher!!!!,neutral
163,"Amazing teacher! He is very smart and his tests are challenging. There is a curve at the end, but you still need to work hard. It can be an imtimidating class when you first start because its a lot of information to cover in a lower division class, but if your going into the medical field or grad school its worth it. Good Luck!",neutral
